"location","exported","imported","inUS"
"Texas",635,,"true"
"Alabama",268,2,"true"
"North Carolina",158,14,"true"
"South Carolina",139,12,"true"
"Georgia",137,19,"true"
"Puerto Rico",131,,"true"
"California",130,3,"true"
"South Korea",76,,"false"
"Tennessee",66,20,"true"
"Kentucky",57,4,"true"
"Mississippi",55,,"true"
"Mexico",54,,"false"
"Louisiana",53,,"true"
"West Virginia",50,,"true"
"Florida",49,32,"true"
"Arkansas",47,1,"true"
"China",28,,"false"
"New Mexico",27,,"true"
"Thailand",20,,"false"
"Virginia",20,183,"true"
"India",18,,"false"
"Taiwan",18,,"false"
"New York",17,390,"true"
"Egypt",15,,"false"
"Arizona",14,14,"true"
"Bahamas",13,,"false"
"Indiana",10,20,"true"
"Missouri",9,4,"true"
"Ohio",9,33,"true"
"Oklahoma",9,5,"true"
"Pennsylvania",9,228,"true"
"Spain",8,,"false"
"Haiti",7,,"false"
"New Jersey",7,270,"true"
"Oman",7,,"false"
"Illinois",6,8,"true"
"Kuwait",5,,"false"
"Maryland",4,123,"true"
"Nebraska",4,,"true"
"Qatar",4,,"false"
"Utah",4,56,"true"
"Connecticut",3,51,"true"
"Costa Rica",3,,"false"
"Greece",3,,"false"
"Idaho",3,,"true"
"Kansas",3,1,"true"
"Russia",3,,"false"
"Wisconsin",3,74,"true"
"Afghanistan",2,,"false"
"Colorado",2,71,"true"
"England",2,,"false"
"Hawaii",2,,"true"
"Iowa",2,14,"true"
"Massachusetts",2,77,"true"
"North Dakota",2,,"true"
"South Dakota",2,,"true"
"Washington",2,334,"true"
"Aruba",1,,"false"
"Azerbaijan",1,,"false"
"Bahrain",1,,"false"
"Bosnia",1,,"false"
"British Virgin Islands",1,,"false"
"Canada",1,,"false"
"Cayman Islands",1,,"false"
"Finland",1,,"false"
"Honduras",1,,"false"
"Indianapolis",1,,"false"
"Iran",1,,"false"
"Ireland",1,,"false"
"Maine",1,87,"true"
"Nevada",1,10,"true"
"Nevis",1,,"false"
"Oregon",1,16,"true"
"Saudi Arabia",1,,"false"
"St. Croix",1,,"false"
"St. Maarten",1,,"false"
"St. Simon",1,,"false"
"St. Thomas",1,,"false"
"Turkey",1,,"false"
"United Arab Emirates",1,,"false"
"Wyoming",1,,"true"
"Rhode Island",,87,"true"
"Minnesota",,67,"true"
"Vermont",,45,"true"
"New Hampshire",,33,"true"
"Delaware",,29,"true"
"Michigan",,12,"true"
"Washington DC",,11,"true"
